true_class,predicted_class,error_count,percentage_of_true_class
sad,neutral,188,31.65
sad,fear,123,20.71
fear,surprise,100,18.94
angry,fear,80,16.29
angry,neutral,80,16.29
fear,neutral,80,15.15
happy,neutral,63,7.17
fear,sad,51,9.66
sad,angry,47,7.91
fear,angry,43,8.14
angry,sad,40,8.15
neutral,sad,39,6.23
happy,surprise,36,4.1
neutral,angry,31,4.95
sad,disgust,26,4.38
sad,happy,26,4.38
neutral,fear,26,4.15
neutral,happy,24,3.83
angry,disgust,22,4.48
surprise,fear,21,5.05
fear,disgust,17,3.22
angry,surprise,16,3.26
fear,happy,16,3.03
surprise,neutral,16,3.85
angry,happy,14,2.85
happy,fear,14,1.59
happy,sad,14,1.59
neutral,surprise,13,2.08
happy,disgust,12,1.37
sad,surprise,12,2.02
happy,angry,11,1.25
surprise,happy,10,2.4
surprise,angry,9,2.16
neutral,disgust,7,1.12
surprise,disgust,5,1.2
disgust,angry,3,5.45
disgust,surprise,2,3.64
disgust,happy,1,1.82
disgust,neutral,1,1.82
surprise,sad,1,0.24
