experiment_id,model,input_size,channels,loss,sampler,augmentation,optimizer,learning_rate,epochs,val_accuracy,val_balanced_accuracy,val_macro_f1,test_accuracy,test_balanced_accuracy,test_macro_f1,weighted_f1,angry_f1,disgust_f1,fear_f1,happy_f1,sad_f1,surprise_f1,neutral_f1,inference_latency_ms,model_size_mb,notes
EXP_V1_BASELINE,resnet18_v1,48x48,1,cross_entropy,uniform,none,adamw,0.0003,15,0.5829,0.5043,0.5032,0.586,0.4996,0.4957,0.5766,0.482,0.0952,0.3398,0.8282,0.4423,0.692,0.5904,3.49,42.65,Original V1 baseline (pruned 30% champion)
EXP_A1_SAMPLER_BALANCED,resnet18,48x48,1,cross_entropy,balanced_sampler,none,adamw,0.0003,2,0.385,0.4075,0.3605,HELD_OUT,HELD_OUT,HELD_OUT,0.3934,0.3269,0.1571,0.2249,0.5191,0.2883,0.6034,0.4037,0.92,42.65,Full inverse class frequency sampling
EXP_A2_SAMPLER_SMOOTHED,resnet18,48x48,1,cross_entropy,smoothed_sampler,none,adamw,0.0003,2,0.4208,0.3733,0.3788,HELD_OUT,HELD_OUT,HELD_OUT,0.4178,0.3171,0.1667,0.2961,0.5926,0.3067,0.6006,0.3722,1.54,42.65,Square-root smoothed class frequency sampling
EXP_B1_WEIGHTED_CE_INVERSE,resnet18,48x48,1,cross_entropy,uniform,none,adamw,0.0003,2,0.3825,0.3711,0.3505,HELD_OUT,HELD_OUT,HELD_OUT,0.3844,0.2539,0.1892,0.2857,0.5378,0.3333,0.4903,0.3632,0.8,42.65,Inverse class frequency weighted CrossEntropy
EXP_B2_WEIGHTED_CE_EFFECTIVE,resnet18,48x48,1,cross_entropy,uniform,none,adamw,0.0003,2,0.3842,0.3785,0.3351,HELD_OUT,HELD_OUT,HELD_OUT,0.3773,0.223,0.1311,0.2345,0.565,0.3483,0.5172,0.3265,0.84,42.65,Cui et al. effective number of samples weighting
EXP_C1_FOCAL_GAMMA_1,resnet18,48x48,1,focal,uniform,none,adamw,0.0003,2,0.3867,0.389,0.3434,HELD_OUT,HELD_OUT,HELD_OUT,0.3716,0.229,0.2353,0.2296,0.5566,0.3697,0.5,0.2838,0.85,42.65,Focal Loss gamma=1.0 with effective sample weights
EXP_C2_FOCAL_GAMMA_2,resnet18,48x48,1,focal,uniform,none,adamw,0.0003,2,0.3792,0.3666,0.3293,HELD_OUT,HELD_OUT,HELD_OUT,0.3663,0.2459,0.1474,0.2414,0.5452,0.3198,0.5119,0.2938,0.81,42.65,Focal Loss gamma=2.0 with effective sample weights
EXP_C3_FOCAL_GAMMA_3,resnet18,48x48,1,focal,uniform,none,adamw,0.0003,2,0.3775,0.3473,0.3315,HELD_OUT,HELD_OUT,HELD_OUT,0.3721,0.2335,0.1562,0.2679,0.5638,0.3281,0.4345,0.3362,0.89,42.65,Focal Loss gamma=3.0
EXP_D1_LABEL_SMOOTHING_005,resnet18,48x48,1,label_smoothing,uniform,none,adamw,0.0003,2,0.4392,0.3633,0.3497,HELD_OUT,HELD_OUT,HELD_OUT,0.4124,0.2429,0.0,0.2658,0.5947,0.398,0.5776,0.3688,2.14,42.65,Label smoothing eps=0.05
EXP_D2_LABEL_SMOOTHING_010,resnet18,48x48,1,label_smoothing,uniform,none,adamw,0.0003,2,0.4125,0.3464,0.3333,HELD_OUT,HELD_OUT,HELD_OUT,0.3943,0.237,0.0,0.2857,0.596,0.3977,0.5552,0.2612,0.71,42.65,Label smoothing eps=0.10
