metric,v1,current,absolute_change,percentage_change
accuracy,58.60,62.66,4.06,6.93
balanced_accuracy,49.96,64.63,14.67,29.36
macro_precision,54.13,57.97,3.84,7.09
macro_recall,48.93,64.63,15.70,32.09
macro_f1,49.57,58.52,8.95,18.06
weighted_f1,57.66,61.59,3.93,6.82
angry_f1,48.20,54.69,6.49,13.46
disgust_f1,9.52,50.00,40.48,425.21
fear_f1,33.98,43.63,9.65,28.40
happy_f1,82.82,85.82,3.00,3.62
sad_f1,44.23,37.76,-6.47,-14.63
surprise_f1,69.20,74.60,5.40,7.80
neutral_f1,59.04,63.12,4.08,6.91
inference_latency_ms,3.49,21.05,17.56,503.15
model_size_mb,42.65,42.84,0.19,0.45
