file,original_label,teacher_pred_class,teacher_happy_prob,teacher_confidence,top2_predictions,retained,filter_reason
happy_cand_00000.png,happy,happy,0.6689,0.6689,"happy(0.67), neutral(0.13)",False,Low Happy probability (0.669 < 0.7)
happy_cand_00001.png,happy,happy,0.8346,0.8346,"happy(0.83), disgust(0.06)",True,Accepted
happy_cand_00002.png,happy,happy,0.32,0.32,"happy(0.32), neutral(0.22)",False,Low Happy probability (0.320 < 0.7)
happy_cand_00003.png,happy,happy,0.6443,0.6443,"happy(0.64), neutral(0.16)",False,Low Happy probability (0.644 < 0.7)
happy_cand_00004.png,happy,happy,0.7883,0.7883,"happy(0.79), neutral(0.10)",True,Accepted
happy_cand_00005.png,happy,happy,0.6288,0.6288,"happy(0.63), neutral(0.15)",False,Low Happy probability (0.629 < 0.7)
happy_cand_00006.png,happy,happy,0.7871,0.7871,"happy(0.79), disgust(0.10)",True,Accepted
happy_cand_00007.png,happy,happy,0.4321,0.4321,"happy(0.43), neutral(0.26)",False,Low Happy probability (0.432 < 0.7)
happy_cand_00008.png,happy,happy,0.788,0.788,"happy(0.79), disgust(0.07)",True,Accepted
happy_cand_00009.png,happy,happy,0.2452,0.2452,"happy(0.25), neutral(0.21)",False,Low Happy probability (0.245 < 0.7)
happy_cand_00010.png,happy,happy,0.8409,0.8409,"happy(0.84), disgust(0.08)",True,Accepted
happy_cand_00011.png,happy,happy,0.6979,0.6979,"happy(0.70), neutral(0.15)",False,Low Happy probability (0.698 < 0.7)
happy_cand_00012.png,happy,happy,0.8338,0.8338,"happy(0.83), disgust(0.07)",True,Accepted
happy_cand_00013.png,happy,happy,0.7012,0.7012,"happy(0.70), surprise(0.13)",True,Accepted
happy_cand_00014.png,happy,happy,0.749,0.749,"happy(0.75), surprise(0.11)",True,Accepted
happy_cand_00015.png,happy,neutral,0.097,0.6974,"neutral(0.70), happy(0.10)",False,Teacher predicted 'neutral' (0.697)
happy_cand_00016.png,happy,neutral,0.2935,0.4814,"neutral(0.48), happy(0.29)",False,Teacher predicted 'neutral' (0.481)
happy_cand_00017.png,happy,angry,0.0305,0.4375,"angry(0.44), neutral(0.32)",False,Teacher predicted 'angry' (0.437)
happy_cand_00018.png,happy,happy,0.6269,0.6269,"happy(0.63), angry(0.11)",False,Low Happy probability (0.627 < 0.7)
happy_cand_00019.png,happy,disgust,0.0634,0.3322,"disgust(0.33), sad(0.24)",False,Teacher predicted 'disgust' (0.332)
happy_cand_00020.png,happy,happy,0.3646,0.3646,"happy(0.36), neutral(0.33)",False,Low Happy probability (0.365 < 0.7)
happy_cand_00021.png,happy,happy,0.8402,0.8402,"happy(0.84), disgust(0.08)",True,Accepted
happy_cand_00022.png,happy,neutral,0.0246,0.5693,"neutral(0.57), angry(0.17)",False,Teacher predicted 'neutral' (0.569)
happy_cand_00023.png,happy,happy,0.7579,0.7579,"happy(0.76), neutral(0.10)",True,Accepted
happy_cand_00024.png,happy,happy,0.6743,0.6743,"happy(0.67), neutral(0.12)",False,Low Happy probability (0.674 < 0.7)
happy_cand_00025.png,happy,happy,0.3069,0.3069,"happy(0.31), neutral(0.24)",False,Low Happy probability (0.307 < 0.7)
happy_cand_00026.png,happy,happy,0.7885,0.7885,"happy(0.79), disgust(0.07)",True,Accepted
happy_cand_00027.png,happy,happy,0.7729,0.7729,"happy(0.77), disgust(0.09)",True,Accepted
happy_cand_00028.png,happy,happy,0.791,0.791,"happy(0.79), disgust(0.08)",True,Accepted
happy_cand_00031.png,happy,neutral,0.0375,0.6858,"neutral(0.69), angry(0.07)",False,Teacher predicted 'neutral' (0.686)
happy_cand_00032.png,happy,happy,0.4575,0.4575,"happy(0.46), neutral(0.39)",False,Low Happy probability (0.457 < 0.7)
happy_cand_00033.png,happy,happy,0.8264,0.8264,"happy(0.83), disgust(0.10)",True,Accepted
happy_cand_00034.png,happy,happy,0.8744,0.8744,"happy(0.87), disgust(0.07)",True,Accepted
happy_cand_00035.png,happy,happy,0.7048,0.7048,"happy(0.70), neutral(0.17)",True,Accepted
happy_cand_00036.png,happy,happy,0.75,0.75,"happy(0.75), disgust(0.12)",True,Accepted
happy_cand_00037.png,happy,neutral,0.0801,0.5802,"neutral(0.58), sad(0.15)",False,Teacher predicted 'neutral' (0.580)
happy_cand_00038.png,happy,happy,0.6112,0.6112,"happy(0.61), neutral(0.24)",False,Low Happy probability (0.611 < 0.7)
happy_cand_00039.png,happy,happy,0.7807,0.7807,"happy(0.78), neutral(0.11)",True,Accepted
happy_cand_00040.png,happy,neutral,0.1686,0.5585,"neutral(0.56), happy(0.17)",False,Teacher predicted 'neutral' (0.558)
happy_cand_00041.png,happy,happy,0.7766,0.7766,"happy(0.78), disgust(0.08)",True,Accepted
happy_cand_00042.png,happy,happy,0.8631,0.8631,"happy(0.86), disgust(0.07)",True,Accepted
happy_cand_00043.png,happy,happy,0.4835,0.4835,"happy(0.48), disgust(0.25)",False,Low Happy probability (0.483 < 0.7)
happy_cand_00044.png,happy,happy,0.5777,0.5777,"happy(0.58), angry(0.14)",False,Low Happy probability (0.578 < 0.7)
happy_cand_00045.png,happy,happy,0.5689,0.5689,"happy(0.57), neutral(0.12)",False,Low Happy probability (0.569 < 0.7)
happy_cand_00046.png,happy,neutral,0.0357,0.7342,"neutral(0.73), sad(0.08)",False,Teacher predicted 'neutral' (0.734)
happy_cand_00047.png,happy,neutral,0.061,0.6373,"neutral(0.64), surprise(0.09)",False,Teacher predicted 'neutral' (0.637)
happy_cand_00048.png,happy,angry,0.1794,0.2758,"angry(0.28), sad(0.23)",False,Teacher predicted 'angry' (0.276)
happy_cand_00049.png,happy,happy,0.5684,0.5684,"happy(0.57), neutral(0.24)",False,Low Happy probability (0.568 < 0.7)
happy_cand_00050.png,happy,neutral,0.1655,0.2287,"neutral(0.23), angry(0.22)",False,Teacher predicted 'neutral' (0.229)
happy_cand_00051.png,happy,happy,0.8149,0.8149,"happy(0.81), disgust(0.09)",True,Accepted
happy_cand_00052.png,happy,happy,0.74,0.74,"happy(0.74), neutral(0.14)",True,Accepted
happy_cand_00053.png,happy,happy,0.7716,0.7716,"happy(0.77), neutral(0.09)",True,Accepted
happy_cand_00054.png,happy,neutral,0.3668,0.4678,"neutral(0.47), happy(0.37)",False,Teacher predicted 'neutral' (0.468)
happy_cand_00055.png,happy,neutral,0.0897,0.6148,"neutral(0.61), sad(0.12)",False,Teacher predicted 'neutral' (0.615)
happy_cand_00056.png,happy,happy,0.8041,0.8041,"happy(0.80), disgust(0.08)",True,Accepted
happy_cand_00057.png,happy,happy,0.4957,0.4957,"happy(0.50), neutral(0.15)",False,Low Happy probability (0.496 < 0.7)
happy_cand_00058.png,happy,happy,0.7612,0.7612,"happy(0.76), neutral(0.08)",True,Accepted
happy_cand_00059.png,happy,happy,0.7084,0.7084,"happy(0.71), disgust(0.11)",True,Accepted
happy_cand_00060.png,happy,happy,0.7972,0.7972,"happy(0.80), disgust(0.09)",True,Accepted
